UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
155,L00155,L,298.3,308.5,1617,34.0,215,0,No Failure
156,L00156,L,298.4,308.9,1665,35.5,218,0,No Failure
157,L00157,L,298.2,308.6,1702,36.3,4,0,No Failure
158,L00158,L,298.2,308.6,1676,37.0,7,0,No Failure
159,L00159,L,298.1,308.6,1647,37.2,11,0,No Failure
160,L00160,L,298.0,308.5,1615,37.5,15,0,No Failure
161,L00161,L,298.0,308.5,1579,37.9,20,0,No Failure
162,L00162,L,297.9,308.5,1549,38.7,25,0,No Failure
163,L00163,L,297.9,308.5,1521,39.3,31,0,No Failure
164,L00164,L,297.8,308.5,1497,39.7,37,0,No Failure
165,L00165,L,297.8,308.5,1477,40.2,44,0,No Failure
166,L00166,L,297.8,308.5,1455,40.7,50,0,No Failure
167,L00167,L,297.8,308.5,1437,41.3,57,0,No Failure
168,L00168,L,297.8,308.5,1420,42.1,64,0,No Failure
169,L00169,L,297.8,308.5,1405,42.5,70,0,No Failure
170,L00170,L,297.8,308.5,1390,42.9,76,0,No Failure
171,L00171,L,297.8,308.5,1380,43.6,81,0,No Failure
172,L00172,L,297.9,308.5,1377,43.9,86,0,No Failure
173,L00173,L,297.9,308.5,1378,44.0,91,0,No Failure
174,L00174,L,297.9,308.5,1378,44.2,95,0,No Failure
175,L00175,L,298.0,308.5,1379,44.1,99,0,No Failure
176,L00176,L,298.0,308.5,1381,44.0,102,0,No Failure
177,L00177,L,298.0,308.5,1385,43.8,105,0,No Failure
178,L00178,L,298.0,308.6,1395,43.1,108,0,No Failure
179,L00179,L,298.0,308.6,1406,42.2,111,0,No Failure
180,L00180,L,298.0,308.6,1417,41.7,114,0,No Failure
181,L00181,L,298.0,308.6,1429,41.0,117,0,No Failure
182,L00182,L,298.0,308.7,1444,40.4,120,0,No Failure
183,L00183,L,298.0,308.7,1461,39.8,123,0,No Failure
184,L00184,L,298.0,308.8,1476,39.0,126,0,No Failure
185,L00185,L,298.0,308.8,1492,38.3,130,0,No Failure
186,L00186,L,297.9,308.9,1507,37.7,133,0,No Failure
187,L00187,L,297.9,308.9,1524,37.5,137,0,No Failure
188,L00188,L,297.9,308.9,1541,37.2,141,0,No Failure
189,L00189,L,297.9,309.0,1560,36.9,144,0,No Failure
190,L00190,L,298.0,309.0,1572,36.6,148,0,No Failure
191,L00191,L,298.0,309.0,1575,36.5,151,0,No Failure
192,L00192,L,298.0,309.0,1585,36.4,155,0,No Failure
193,L00193,L,298.0,309.0,1599,36.3,158,0,No Failure
194,L00194,L,298.1,309.0,1613,36.2,160,0,No Failure
195,L00195,L,298.1,309.0,1622,36.3,163,0,No Failure
196,L00196,L,298.2,309.0,1629,36.3,165,0,No Failure
197,L00197,L,298.2,308.9,1641,36.2,168,0,No Failure
198,L00198,L,298.2,308.9,1657,36.0,170,0,No Failure
199,L00199,L,298.3,308.9,1668,35.6,173,0,No Failure
200,L00200,L,298.3,308.8,1674,35.3,176,0,No Failure
201,L00201,L,298.3,308.8,1684,35.0,180,0,No Failure
202,L00202,L,298.3,308.8,1695,34.5,184,0,No Failure
203,L00203,L,298.3,308.7,1708,34.0,189,0,No Failure
204,L00204,L,298.2,308.7,1722,33.6,196,0,No Failure
205,L00205,L,298.2,308.7,1735,33.2,203,0,No Failure
206,L00206,L,298.0,308.5,1700,36.5,5,0,No Failure
207,L00207,L,297.9,308.4,1676,37.0,11,0,No Failure
208,L00208,L,297.8,308.3,1647,37.5,16,0,No Failure
209,L00209,L,297.8,308.2,1619,38.1,22,0,No Failure
210,L00210,L,297.7,308.2,1598,38.8,28,0,No Failure
211,L00211,L,297.7,308.1,1575,39.6,33,0,No Failure
212,L00212,L,297.7,308.1,1553,40.0,39,0,No Failure
213,L00213,L,297.6,308.1,1532,40.3,45,0,No Failure
214,L00214,L,297.6,308.1,1511,40.8,50,0,No Failure
215,L00215,L,297.6,308.1,1493,41.2,56,0,No Failure
216,L00216,L,297.6,308.2,1473,41.5,62,0,No Failure
217,L00217,L,297.6,308.2,1453,42.0,67,0,No Failure
218,L00218,L,297.7,308.3,1442,42.4,72,0,No Failure
219,L00219,L,297.7,308.4,1428,43.0,77,0,No Failure
220,L00220,L,297.7,308.4,1410,43.4,82,0,No Failure
221,L00221,L,297.7,308.5,1394,43.4,87,0,No Failure
222,L00222,L,297.7,308.5,1380,43.5,91,0,No Failure
223,L00223,L,297.7,308.6,1370,43.7,95,0,No Failure
224,L00224,L,297.7,308.7,1364,43.7,99,0,No Failure
225,L00225,L,297.7,308.7,1358,43.8,103,0,No Failure
226,L00226,L,297.7,308.7,1351,43.9,106,0,No Failure
227,L00227,L,297.6,308.7,1347,44.0,110,0,No Failure
228,L00228,L,297.6,308.7,1346,43.8,113,0,No Failure
229,L00229,L,297.6,308.7,1347,43.8,116,0,No Failure
230,L00230,L,297.5,308.7,1347,43.5,119,0,No Failure
231,L00231,L,297.5,308.7,1346,43.3,123,0,No Failure
232,L00232,L,297.5,308.7,1346,43.4,126,0,No Failure
233,L00233,L,297.5,308.7,1350,43.2,129,0,No Failure
234,L00234,L,297.5,308.7,1357,42.8,133,0,No Failure
235,L00235,L,297.5,308.7,1367,42.4,136,0,No Failure
236,L00236,L,297.6,308.7,1378,42.1,140,0,No Failure
237,L00237,L,297.6,308.7,1385,42.0,143,0,No Failure
238,L00238,L,297.6,308.8,1390,41.9,147,0,No Failure
239,L00239,L,297.7,308.8,1402,41.8,151,0,No Failure
240,L00240,L,297.8,308.8,1416,41.6,154,0,No Failure
241,L00241,L,297.8,308.9,1427,41.4,158,0,No Failure
242,L00242,L,297.9,309.0,1447,41.4,161,0,No Failure
243,L00243,L,298.0,309.0,1464,41.3,165,0,No Failure
244,L00244,L,298.1,309.1,1481,41.3,168,0,No Failure
245,L00245,L,298.2,309.1,1497,40.9,171,0,No Failure
246,L00246,L,298.2,309.2,1513,40.6,173,0,No Failure
247,L00247,L,298.3,309.2,1528,40.6,176,0,No Failure
248,L00248,L,298.3,309.2,1546,40.7,178,0,No Failure
249,L00249,L,298.3,309.2,1565,40.5,180,0,No Failure
250,L00250,L,298.3,309.2,1580,40.1,182,0,No Failure
251,L00251,L,298.3,309.1,1596,39.7,184,0,No Failure
252,L00252,L,298.3,309.1,1611,39.3,187,0,No Failure
253,L00253,L,298.3,309.0,1625,39.0,189,0,No Failure
254,L00254,L,298.2,308.9,1637,38.5,193,0,No Failure
255,L00255,L,298.2,308.8,1651,38.0,197,0,No Failure
256,L00256,L,298.1,308.7,1669,37.5,201,0,No Failure
257,L00257,L,298.0,308.6,1678,37.1,207,0,No Failure
258,L00258,L,298.0,308.5,1684,36.8,213,0,No Failure
259,L00259,L,297.5,308.5,1755,39.7,0,0,No Failure
260,L00260,L,297.5,308.4,1712,40.0,2,0,No Failure
261,L00261,L,297.4,308.4,1673,40.3,5,0,No Failure
262,L00262,L,297.4,308.3,1636,40.5,7,0,No Failure
263,L00263,L,297.3,308.3,1599,40.9,10,0,No Failure
264,L00264,L,297.3,308.3,1561,41.2,13,0,No Failure
265,L00265,L,297.3,308.3,1526,41.4,17,0,No Failure
266,L00266,L,297.2,308.2,1498,41.5,20,0,No Failure
267,L00267,L,297.2,308.3,1475,41.8,24,0,No Failure
268,L00268,L,297.2,308.3,1449,42.0,27,0,No Failure
269,L00269,L,297.2,308.3,1424,42.1,31,0,No Failure
270,L00270,L,297.2,308.3,1406,42.3,35,0,No Failure
271,L00271,L,297.2,308.3,1386,42.4,39,0,No Failure
272,L00272,L,297.2,308.4,1371,42.7,42,0,No Failure
273,L00273,L,297.3,308.4,1363,44.0,46,0,No Failure
274,L00274,L,297.3,308.4,1369,47.4,50,0,No Failure
275,L00275,L,297.3,308.5,1380,52.9,53,0,No Failure
276,L00276,L,297.4,308.5,1391,58.8,57,0,No Failure
277,L00277,L,297.4,308.5,1399,61.5,61,1,Power Failure
278,L00278,L,297.5,308.5,1395,58.4,65,0,No Failure
279,L00279,L,297.6,308.6,1380,52.0,69,0,No Failure
280,L00280,L,297.7,308.6,1376,46.1,73,0,No Failure
281,L00281,L,297.7,308.6,1380,42.3,77,0,No Failure
282,L00282,L,297.8,308.7,1389,40.6,81,0,No Failure
283,L00283,L,297.9,308.7,1409,40.0,86,0,No Failure
284,L00284,L,297.9,308.7,1425,39.5,92,0,No Failure
285,L00285,L,297.9,308.6,1439,39.1,97,0,No Failure
286,L00286,L,298.0,308.6,1452,38.9,103,0,No Failure
287,L00287,L,298.0,308.6,1468,38.4,109,0,No Failure
288,L00288,L,298.0,308.6,1490,38.0,116,0,No Failure
289,L00289,L,298.0,308.6,1510,37.5,122,0,No Failure
290,L00290,L,298.0,308.6,1529,37.1,129,0,No Failure
291,L00291,L,298.0,308.6,1546,36.9,136,0,No Failure
292,L00292,L,298.0,308.6,1558,36.7,143,0,No Failure
293,L00293,L,298.0,308.6,1570,36.5,150,0,No Failure
294,L00294,L,297.9,308.6,1583,36.4,157,0,No Failure
295,L00295,L,297.9,308.7,1599,36.3,163,0,No Failure
296,L00296,L,297.9,308.7,1612,36.3,169,0,No Failure
297,L00297,L,297.9,308.7,1622,36.3,174,0,No Failure
298,L00298,L,297.9,308.7,1634,36.4,180,0,No Failure
299,L00299,L,297.9,308.7,1652,36.2,184,0,No Failure
300,L00300,L,297.8,308.7,1684,35.1,189,0,No Failure
301,L00301,L,297.8,308.8,1743,32.0,193,0,No Failure
302,L00302,L,297.8,308.9,1822,27.7,197,0,No Failure
303,L00303,L,297.8,308.9,1871,25.6,200,1,Tool Wear Failure
304,L00304,L,297.8,308.8,1851,28.0,204,0,No Failure
305,L00305,L,297.7,308.7,1797,32.6,208,0,No Failure
306,L00306,L,297.6,308.6,1763,36.0,212,0,No Failure
307,L00307,L,297.6,308.6,1757,37.4,217,0,No Failure
308,L00308,L,297.5,308.5,1764,38.0,221,0,No Failure
309,L00309,L,297.6,308.2,1370,44.8,3,0,No Failure
310,L00310,L,297.5,308.2,1410,43.3,10,0,No Failure
311,L00311,L,297.4,308.2,1448,41.9,16,0,No Failure
312,L00312,L,297.4,308.1,1486,40.8,22,0,No Failure
313,L00313,L,297.3,308.1,1528,39.7,27,0,No Failure
314,L00314,L,297.3,308.1,1559,38.7,32,0,No Failure
315,L00315,L,297.2,308.1,1589,37.6,37,0,No Failure
316,L00316,L,297.2,308.1,1619,36.7,41,0,No Failure
317,L00317,L,297.2,308.1,1647,36.0,45,0,No Failure
318,L00318,L,297.2,308.1,1667,35.5,49,0,No Failure
319,L00319,L,297.2,308.2,1682,34.9,53,0,No Failure
320,L00320,L,297.2,308.2,1696,34.5,56,0,No Failure
321,L00321,L,297.2,308.2,1711,34.2,60,0,No Failure
322,L00322,L,297.2,308.3,1721,33.9,64,0,No Failure
323,L00323,L,297.3,308.3,1730,33.6,67,0,No Failure
324,L00324,L,297.3,308.3,1735,33.4,71,0,No Failure
325,L00325,L,297.3,308.4,1738,33.4,74,0,No Failure
326,L00326,L,297.3,308.4,1743,33.5,78,0,No Failure
327,L00327,L,297.3,308.4,1750,33.5,81,0,No Failure
328,L00328,L,297.3,308.4,1753,33.2,85,0,No Failure
329,L00329,L,297.3,308.4,1753,33.2,89,0,No Failure
330,L00330,L,297.3,308.5,1750,33.1,93,0,No Failure
331,L00331,L,297.3,308.5,1747,33.1,97,0,No Failure
332,L00332,L,297.3,308.5,1748,33.0,101,0,No Failure
333,L00333,L,297.3,308.4,1755,33.0,105,0,No Failure
334,L00334,L,297.3,308.4,1756,33.0,109,0,No Failure
335,L00335,L,297.2,308.4,1749,33.0,114,0,No Failure
336,L00336,L,297.2,308.4,1747,32.8,118,0,No Failure
337,L00337,L,297.3,308.4,1743,32.8,122,0,No Failure
338,L00338,L,297.3,308.4,1737,32.7,127,0,No Failure
339,L00339,L,297.3,308.4,1733,32.8,132,0,No Failure
340,L00340,L,297.3,308.4,1723,32.8,137,0,No Failure
341,L00341,L,297.4,308.4,1718,32.8,142,0,No Failure
342,L00342,L,297.4,308.4,1711,32.9,147,0,No Failure
343,L00343,L,297.5,308.4,1698,32.9,152,0,No Failure
344,L00344,L,297.5,308.5,1684,32.7,157,0,No Failure
345,L00345,L,297.6,308.5,1672,32.9,163,0,No Failure
346,L00346,L,297.7,308.5,1656,33.3,168,0,No Failure
347,L00347,L,297.7,308.5,1643,33.7,174,0,No Failure
348,L00348,L,297.8,308.5,1622,34.3,180,0,No Failure
349,L00349,L,297.9,308.4,1587,36.5,185,0,No Failure
350,L00350,L,297.9,308.4,1514,43.0,191,0,No Failure
351,L00351,L,298.0,308.3,1411,53.0,196,0,No Failure
352,L00352,L,298.0,308.2,1348,58.8,202,1,Overstrain Failure
353,L00353,L,297.9,308.2,1372,54.9,207,0,No Failure
354,L00354,L,297.8,308.3,1434,46.9,212,0,No Failure
355,L00355,L,297.9,308.4,1470,43.4,217,0,No Failure
356,L00356,L,297.4,308.3,1475,40.5,222,1,Tool Wear Failure
357,L00357,L,299.7,309.0,1403,52.8,223,0,No Failure
358,L00358,L,301.1,309.3,1344,60.9,226,0,No Failure
359,L00359,L,301.7,309.5,1298,65.5,229,1,Heat Dissipation Failure
360,L00360,L,301.1,309.5,1513,57.3,3,0,No Failure
361,L00361,L,299.7,309.0,1569,50.0,9,0,No Failure
362,L00362,L,298.4,308.6,1623,43.3,14,0,No Failure
363,L00363,L,297.7,308.4,1668,39.2,20,0,No Failure
364,L00364,L,297.3,308.3,1705,37.2,26,0,No Failure
365,L00365,L,297.2,308.2,1728,36.2,32,0,No Failure
366,L00366,L,297.2,308.1,1740,35.9,37,0,No Failure
367,L00367,L,297.1,308.1,1745,35.5,43,0,No Failure
368,L00368,L,297.1,308.1,1739,35.5,48,0,No Failure
369,L00369,L,297.0,308.1,1720,35.6,54,0,No Failure
370,L00370,L,297.0,308.0,1693,35.8,59,0,No Failure
371,L00371,L,297.0,308.0,1659,36.2,64,0,No Failure
372,L00372,L,297.0,308.1,1620,36.9,69,0,No Failure
373,L00373,L,297.0,308.1,1574,37.8,74,0,No Failure
374,L00374,L,297.0,308.1,1531,38.4,78,0,No Failure
375,L00375,L,297.0,308.2,1498,39.2,82,0,No Failure
376,L00376,L,297.0,308.2,1463,39.9,85,0,No Failure
377,L00377,L,297.0,308.2,1431,40.4,88,0,No Failure
378,L00378,L,297.1,308.3,1410,40.9,91,0,No Failure
379,L00379,L,297.1,308.3,1399,40.9,94,0,No Failure
380,L00380,L,297.1,308.3,1399,41.0,96,0,No Failure
381,L00381,L,297.1,308.3,1409,40.9,98,0,No Failure
382,L00382,L,297.1,308.3,1433,40.6,101,0,No Failure
383,L00383,L,297.2,308.3,1465,40.3,103,0,No Failure
384,L00384,L,297.2,308.3,1494,39.8,106,0,No Failure
385,L00385,L,297.2,308.3,1529,39.0,109,0,No Failure
386,L00386,L,297.2,308.2,1565,38.2,112,0,No Failure
387,L00387,L,297.2,308.2,1599,37.5,115,0,No Failure
388,L00388,L,297.2,308.1,1636,36.9,119,0,No Failure
389,L00389,L,297.2,308.0,1681,36.1,124,0,No Failure
390,L00390,L,297.1,307.9,1739,34.2,128,0,No Failure
391,L00391,L,296.8,307.5,1846,30.4,133,0,No Failure
392,L00392,L,296.4,307.0,2017,24.0,138,0,No Failure
393,L00393,L,295.9,306.5,2199,17.1,143,0,No Failure
394,L00394,L,295.7,306.2,2270,14.6,149,1,Power Failure
395,L00395,L,295.9,306.4,2160,18.5,154,0,No Failure
396,L00396,L,296.5,307.0,1940,26.2,160,0,No Failure
397,L00397,L,297.0,307.5,1731,33.2,166,0,No Failure
398,L00398,L,297.3,307.8,1597,37.4,171,0,No Failure
399,L00399,L,297.4,307.9,1527,39.4,176,0,No Failure
400,L00400,L,297.5,308.0,1483,40.6,180,0,No Failure
401,L00401,L,297.5,308.1,1451,41.4,184,0,No Failure
402,L00402,L,297.5,308.2,1426,42.0,188,0,No Failure
403,L00403,L,297.6,308.2,1412,42.3,191,0,No Failure
404,L00404,L,297.6,308.3,1406,42.4,194,0,No Failure
405,L00405,L,297.6,308.3,1413,42.3,197,0,No Failure
406,L00406,L,297.6,308.4,1421,42.0,199,0,No Failure
407,L00407,L,297.6,308.4,1437,41.7,201,0,No Failure
408,L00408,L,297.6,308.4,1461,41.3,204,0,No Failure
409,L00409,L,297.6,308.4,1483,40.8,205,0,No Failure
410,L00410,L,297.5,308.4,1515,40.0,207,0,No Failure
411,L00411,L,297.5,308.4,1548,39.2,209,0,No Failure
412,L00412,L,297.1,308.3,1374,41.8,0,0,No Failure
413,L00413,L,297.1,308.3,1406,41.1,7,0,No Failure
414,L00414,L,297.1,308.4,1437,40.3,13,0,No Failure
415,L00415,L,297.2,308.4,1468,39.5,19,0,No Failure
416,L00416,L,297.2,308.5,1501,38.9,25,0,No Failure
417,L00417,L,297.2,308.5,1535,38.3,32,0,No Failure
418,L00418,L,297.3,308.5,1564,37.8,38,0,No Failure
419,L00419,L,297.3,308.5,1597,37.4,44,0,No Failure
420,L00420,L,297.3,308.5,1622,37.2,50,0,No Failure
421,L00421,L,297.3,308.5,1642,37.2,55,0,No Failure
422,L00422,L,297.3,308.5,1668,37.1,62,0,No Failure
423,L00423,L,297.3,308.5,1692,37.3,67,0,No Failure
424,L00424,L,297.2,308.4,1716,37.5,74,0,No Failure
425,L00425,L,297.2,308.4,1739,37.5,79,0,No Failure
426,L00426,L,297.2,308.3,1758,37.5,86,0,No Failure
427,L00427,L,297.1,308.2,1771,37.7,92,0,No Failure
428,L00428,L,297.0,308.2,1788,37.9,98,0,No Failure
429,L00429,L,297.0,308.1,1802,38.0,104,0,No Failure
430,L00430,L,296.9,308.0,1811,38.2,110,0,No Failure
431,L00431,L,296.9,308.0,1820,38.3,116,0,No Failure
432,L00432,L,296.8,307.9,1826,38.2,122,0,No Failure
